year,yearcode,countryname,countrycode,percent_ages0to14,percent_ages15to64
1980,YR1980,Afghanistan,AFG,45.97285505,51.502597
1980,YR1980,Albania,ALB,36.30659512,58.83966881
1980,YR1980,Algeria,DZA,46.40847614,50.45241495
1980,YR1980,American Samoa,ASM,41.57607456,55.60353347
1980,YR1980,Andorra,AND,23.73283536,69.58524052
1980,YR1980,Angola,AGO,45.88952775,51.69163822
1980,YR1980,Antigua and Barbuda,ATG,34.24051657,57.87608165
1980,YR1980,Argentina,ARG,30.64234619,61.65159772
1980,YR1980,Armenia,ARM,30.52953584,63.89505292
1980,YR1980,Aruba,ABW,28.92406029,64.87597665
1980,YR1980,Australia,AUS,25.25109695,65.13068207
1980,YR1980,Austria,AUT,20.42263584,64.19459451
1980,YR1980,Azerbaijan,AZE,34.60634356,60.34136138
1980,YR1980,"Bahamas, The",BHS,35.10240109,60.68245048
1980,YR1980,Bahrain,BHR,35.79448145,62.08193715
1980,YR1980,Bangladesh,BGD,45.08440983,51.4820514
1980,YR1980,Barbados,BRB,28.03613928,62.11803632
1980,YR1980,Belarus,BLR,22.9141908,66.71223438
1980,YR1980,Belgium,BEL,20.22280428,65.3404769
1980,YR1980,Belize,BLZ,46.40019844,49.256544
1980,YR1980,Benin,BEN,44.72266574,50.91646619
1980,YR1980,Bermuda,BMU,22.46917268,69.45364934
1980,YR1980,Bhutan,BTN,41.95276425,55.47846818
1980,YR1980,Bolivia,BOL,41.27203581,54.8816759
1980,YR1980,Bosnia and Herzegovina,BIH,27.70605645,65.84669105
1980,YR1980,Botswana,BWA,46.93256877,50.26414946
1980,YR1980,Brazil,BRA,38.41757985,57.78606566
1980,YR1980,British Virgin Islands,VGB,34.16599154,60.16743181
1980,YR1980,Brunei Darussalam,BRN,38.23824436,58.9932977
1980,YR1980,Bulgaria,BGR,22.69015031,65.19808908
1980,YR1980,Burkina Faso,BFA,44.56261977,51.89760401
1980,YR1980,Burundi,BDI,45.0372603,51.72352429
1980,YR1980,Cabo Verde,CPV,46.70259178,48.10928211
1980,YR1980,Cambodia,KHM,41.52884851,55.47455182
1980,YR1980,Cameroon,CMR,44.76405597,51.41438127
1980,YR1980,Canada,CAN,22.76953812,67.83710934
1980,YR1980,Cayman Islands,CYM,28.57309942,64.64035088
1980,YR1980,Central African Republic,CAF,43.52048038,52.69558276
1980,YR1980,Chad,TCD,46.59359273,49.68614951
1980,YR1980,Channel Islands,CHI,18.29330229,66.63176647
1980,YR1980,Chile,CHL,33.40455352,61.94742581
1980,YR1980,China,CHN,36.12546837,59.48499003
1980,YR1980,Colombia,COL,40.13678344,56.37335863
1980,YR1980,Comoros,COM,45.14418508,50.48122609
1980,YR1980,"Congo, Dem. Rep.",COD,44.28784059,52.86884849
1980,YR1980,"Congo, Rep.",COG,45.68026564,50.99056666
1980,YR1980,Costa Rica,CRI,37.09654505,58.7968453
1980,YR1980,Cote d'Ivoire,CIV,44.98435658,52.50223692
1980,YR1980,Croatia,HRV,20.83480987,67.19095259
1980,YR1980,Cuba,CUB,31.86573966,60.78172559
1980,YR1980,Curacao,CUW,31.34270313,62.71983373
1980,YR1980,Cyprus,CYP,25.01760933,65.26255746
1980,YR1980,Czechia,CZE,23.45809453,63.14491039
1980,YR1980,Denmark,DNK,20.84607179,64.72835983
1980,YR1980,Djibouti,DJI,45.13715557,52.07669358
1980,YR1980,Dominica,DMA,40.78489408,52.26917701
1980,YR1980,Dominican Republic,DOM,42.96911811,53.76851176
1980,YR1980,Ecuador,ECU,42.18637045,54.09916574
1980,YR1980,"Egypt, Arab Rep.",EGY,41.25029797,54.52937983
1980,YR1980,El Salvador,SLV,44.14929102,52.99900732
1980,YR1980,Equatorial Guinea,GNQ,42.07607913,53.81165522
1980,YR1980,Eritrea,ERI,44.68825497,52.79190389
1980,YR1980,Estonia,EST,21.65035075,65.85333074
1980,YR1980,Eswatini,SWZ,49.41050581,47.78695344
1980,YR1980,Ethiopia,ETH,45.74406705,51.41411822
1980,YR1980,Faroe Islands,FRO,28.10424119,61.8397826
1980,YR1980,Fiji,FJI,39.8882841,57.50428767
1980,YR1980,Finland,FIN,20.30819443,67.71508581
1980,YR1980,France,FRA,22.37155775,63.64414714
1980,YR1980,French Polynesia,PYF,40.21419206,57.19459752
1980,YR1980,Gabon,GAB,39.59618384,53.72107196
1980,YR1980,"Gambia, The",GMB,44.0523779,52.28041757
1980,YR1980,Georgia,GEO,25.80642027,65.53762274
1980,YR1980,Germany,DEU,18.37701811,65.93704132
1980,YR1980,Ghana,GHA,45.62868505,51.76421339
1980,YR1980,Gibraltar,GIB,24.35442333,65.47121877
1980,YR1980,Greece,GRC,23.82908149,63.0444706
1980,YR1980,Greenland,GRL,29.2320281,67.21250948
1980,YR1980,Grenada,GRD,38.84170291,54.15052063
1980,YR1980,Guam,GUM,34.49032515,62.82529061
1980,YR1980,Guatemala,GTM,45.81583072,51.34961569
1980,YR1980,Guinea,GIN,42.28243587,53.54645354
1980,YR1980,Guinea-Bissau,GNB,45.22531082,50.01121518
1980,YR1980,Guyana,GUY,42.31975949,54.03421208
1980,YR1980,Haiti,HTI,40.5627806,55.23261338
1980,YR1980,Honduras,HND,47.47576092,49.27731413
1980,YR1980,"Hong Kong SAR, China",HKG,25.47918373,68.10026505
1980,YR1980,Hungary,HUN,21.94348947,64.65011708
1980,YR1980,Iceland,ISL,27.52723832,62.61833937
1980,YR1980,India,IND,39.51655295,56.49877133
1980,YR1980,Indonesia,IDN,40.41409004,55.91148345
1980,YR1980,"Iran, Islamic Rep.",IRN,43.31401007,53.40620227
1980,YR1980,Iraq,IRQ,46.72333058,48.80819704
1980,YR1980,Ireland,IRL,30.43259292,58.69790148
1980,YR1980,Isle of Man,IMN,19.43769768,59.93283611
1980,YR1980,Israel,ISR,32.65868782,58.35001176
1980,YR1980,Italy,ITA,22.22779785,64.49313377
1980,YR1980,Jamaica,JAM,40.62459905,52.20369873
1980,YR1980,Japan,JPN,23.09663991,67.60463978
1980,YR1980,Jordan,JOR,49.6622203,47.8437379
1980,YR1980,Kazakhstan,KAZ,31.63999575,62.39201034
1980,YR1980,Kenya,KEN,51.80147963,46.16792501
1980,YR1980,Kiribati,KIR,40.70231116,55.73022437
1980,YR1980,"Korea, Dem. People's Rep.",PRK,35.18776278,61.40276568
1980,YR1980,"Korea, Rep.",KOR,34.13796036,62.03455255
1980,YR1980,Kosovo,XKX,41.31938295,54.18057002
1980,YR1980,Kuwait,KWT,41.72314191,57.02420559
1980,YR1980,Kyrgyz Republic,KGZ,37.63861651,57.49700166
1980,YR1980,Lao PDR,LAO,44.07003507,52.5877709
1980,YR1980,Latvia,LVA,20.26945564,66.90942492
1980,YR1980,Lebanon,LBN,38.80349644,56.56138843
1980,YR1980,Lesotho,LSO,42.33829247,53.91214931
1980,YR1980,Liberia,LBR,44.73376811,52.64208255
